full_name,age,birthday,birthday_GMT,league,season,position,Current Club,minutes_played_overall,minutes_played_home,minutes_played_away,nationality,appearances_overall,appearances_home,appearances_away,goals_overall,goals_home,goals_away,assists_overall,assists_home,assists_away,penalty_goals,penalty_misses,clean_sheets_overall,clean_sheets_home,clean_sheets_away,conceded_overall,conceded_home,conceded_away,yellow_cards_overall,red_cards_overall,goals_involved_per_90_overall,assists_per_90_overall,goals_per_90_overall,goals_per_90_home,goals_per_90_away,min_per_goal_overall,conceded_per_90_overall,min_per_conceded_overall,min_per_match,min_per_card_overall,min_per_assist_overall,cards_per_90_overall,rank_in_league_top_attackers,rank_in_league_top_midfielders,rank_in_league_top_defenders,rank_in_club_top_scorer
Ádám Kovácsik,30,670723200,1991/04/04,UEFA Nations League,2020/2021,Goalkeeper,Hungary,0,0,0,Hungary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Ádám Lang,28,727228800,1993/01/17,UEFA Nations League,2020/2021,Defender,Hungary,450,270,180,Hungary,5,3,2,0,0,0,0,0,0,0,0,3,1,2,4,4,0,1,0,0,0,0,0,0,0,0.8,113,90,450,0,0.2,316,311,84,24
Adam Marušić,29,719280000,1992/10/17,UEFA Nations League,2020/2021,Defender,Montenegro,360,90,270,Montenegro,4,1,3,0,0,0,0,0,0,0,0,4,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,274,251,9,22
Ádám Nagy,26,803347200,1995/06/17,UEFA Nations League,2020/2021,Midfielder,Hungary,494,270,224,Hungary,6,3,3,0,0,0,0,0,0,0,0,4,1,3,4,4,0,1,0,0,0,0,0,0,0,0.73,124,82,494,0,0.18,313,382,-1,21
Adam Priestley,31,650505600,1990/08/13,UEFA Nations League,2020/2021,Forward,Gibraltar,13,0,13,Gibraltar,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,-1,-1,-1,5
Ádám Szalai,33,566006400,1987/12/09,UEFA Nations League,2020/2021,Forward,Hungary,247,67,180,Hungary,4,1,3,0,0,0,0,0,0,0,0,3,0,3,3,3,0,0,0,0,0,0,0,0,0,1.09,82,62,0,0,0,-1,-1,-1,20
Adam Uche Idah,20,984268800,2001/03/11,UEFA Nations League,2020/2021,Forward,Republic of Ireland,233,66,167,Republic of Ireland,4,1,3,0,0,0,0,0,0,0,0,0,0,0,3,1,2,0,0,0,0,0,0,0,0,1.16,78,58,0,0,0,-1,-1,-1,22
Adam Zreľák,27,768096000,1994/05/05,UEFA Nations League,2020/2021,Forward,Slovakia,73,73,0,Slovakia,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,3.7,24,73,0,0,0,-1,-1,-1,23
Adama Traoré Diarra,25,822528000,1996/01/25,UEFA Nations League,2020/2021,Midfielder,Spain,140,33,107,Spain,3,1,2,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0.64,140,47,0,0,0,-1,-1,-1,23
Adem Ljajić,30,686102400,1991/09/29,UEFA Nations League,2020/2021,Forward,Serbia,51,46,5,Serbia,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1.76,51,26,0,0,0,-1,-1,-1,15
Adi Adilović,38,414547200,1983/02/20,UEFA Nations League,2020/2021,Goalkeeper,Bosnia-Herzegovina,0,0,0,Bosnia and Herzegovina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Adil Nağıyev,26,810777600,1995/09/11,UEFA Nations League,2020/2021,Defender,Azerbaijan,23,23,0,Azerbaijan,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,3.91,23,23,23,0,3.91,-1,-1,-1,20
Admir Mehmedi,30,669081600,1991/03/16,UEFA Nations League,2020/2021,Forward,Switzerland,75,0,75,Switzerland,3,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1.2,75,25,0,0,0,-1,-1,-1,9
Adnan Kovačević,28,747532800,1993/09/09,UEFA Nations League,2020/2021,Defender,Bosnia-Herzegovina,0,0,0,Bosnia and Herzegovina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Adolfo Josè Hirsch,35,507513600,1986/01/31,UEFA Nations League,2020/2021,Forward,San Marino,203,101,102,San Marino,4,2,2,0,0,0,0,0,0,0,0,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,51,203,0,0.44,-1,-1,-1,9
Adrian Grbic,25,839116800,1996/08/04,UEFA Nations League,2020/2021,Midfielder,Austria,75,54,21,Austria,5,3,2,2,2,0,1,1,0,0,0,1,0,1,0,0,0,0,0,3.6,1.2,2.4,3.33,0,38,0,0,15,0,75,0,-1,-1,-1,2
Adrián Rodrígues Gonçalves,33,587520000,1988/08/14,UEFA Nations League,2020/2021,Defender,Andorra,0,0,0,Andorra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Adrian Rúnason Justinussen,23,900979200,1998/07/21,UEFA Nations League,2020/2021,Midfielder,Faroe Islands,0,0,0,Faroe Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Adrian Szöke,23,899251200,1998/07/01,UEFA Nations League,2020/2021,Midfielder,Hungary,0,0,0,Germany,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Adrien Rabiot,26,796867200,1995/04/03,UEFA Nations League,2020/2021,Midfielder,France,497,168,329,France,6,2,4,0,0,0,0,0,0,0,0,3,1,2,4,1,3,0,0,0,0,0,0,0,0,0.72,124,83,0,0,0,259,196,-1,26
Advan Kadušić,24,876787200,1997/10/14,UEFA Nations League,2020/2021,Defender,Bosnia-Herzegovina,125,125,0,Bosnia and Herzegovina,2,2,0,0,0,0,0,0,0,0,0,1,1,0,2,2,0,2,0,0,0,0,0,0,0,1.44,63,63,63,0,1.44,-1,-1,-1,4
Ahmed Kutucu,21,951868800,2000/03/01,UEFA Nations League,2020/2021,Forward,Turkey,46,46,0,Germany,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,-1,-1,-1,23
Ainsley Maitland-Niles,24,872812800,1997/08/29,UEFA Nations League,2020/2021,Midfielder,England,44,41,3,England,3,2,1,0,0,0,0,0,0,0,0,2,1,1,1,1,0,0,0,0,0,0,0,0,0,2.05,44,15,0,0,0,-1,-1,-1,16
Ákos Kecskés,25,820713600,1996/01/04,UEFA Nations League,2020/2021,Defender,Hungary,90,90,0,Hungary,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,90,90,0,0,0,-1,-1,-1,8
Alain Pons,26,811209600,1995/09/16,UEFA Nations League,2020/2021,Defender,Gibraltar,3,0,3,Gibraltar,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,-1,-1,-1,6
Alan Browne,26,797904000,1995/04/15,UEFA Nations League,2020/2021,Midfielder,Republic of Ireland,0,0,0,Republic of Ireland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Alan Czerwiński,28,728611200,1993/02/02,UEFA Nations League,2020/2021,Defender,Poland,0,0,0,Poland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Alban Hoxha,34,564624000,1987/11/23,UEFA Nations League,2020/2021,Goalkeeper,Albania,0,0,0,Albania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Albert Alavedra,22,919987200,1999/02/26,UEFA Nations League,2020/2021,Defender,Andorra,180,0,180,Andorra,2,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,4,1,0,0,0,0,0,0,0,2,45,90,180,0,0.5,-1,-1,-1,4
Albert Gudmundsson,24,866332800,1997/06/15,UEFA Nations League,2020/2021,Midfielder,Iceland,430,193,237,Iceland,6,3,3,0,0,0,0,0,0,0,0,0,0,0,10,2,8,0,0,0,0,0,0,0,0,2.09,43,72,0,0,0,195,119,-1,21
Albert Reyes Roig,25,827625600,1996/03/24,UEFA Nations League,2020/2021,Midfielder,Andorra,0,0,0,Andorra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Albert Rusnák,27,773539200,1994/07/07,UEFA Nations League,2020/2021,Midfielder,Slovakia,188,112,76,Slovakia,4,2,2,0,0,0,0,0,0,0,0,1,1,0,5,3,2,1,0,0,0,0,0,0,0,2.39,38,47,188,0,0.48,-1,-1,-1,11
Albi Doka,24,867283200,1997/06/26,UEFA Nations League,2020/2021,Defender,Albania,112,112,0,Albania,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,1.61,56,56,0,0,0,-1,-1,-1,8
Albian Ajeti,24,856915200,1997/02/26,UEFA Nations League,2020/2021,Forward,Switzerland,17,0,17,Switzerland,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,-1,-1,-1,13
Albin Ekdal,32,617587200,1989/07/28,UEFA Nations League,2020/2021,Midfielder,Sweden,353,180,173,Sweden,5,3,2,0,0,0,0,0,0,0,0,0,0,0,6,2,4,2,0,0,0,0,0,0,0,1.53,59,71,177,0,0.51,279,205,-1,20
Albin Granlund,32,620611200,1989/09/01,UEFA Nations League,2020/2021,Defender,Finland,86,86,0,Finland,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,0,0,0,-1,-1,-1,13
Aldin Skenderovic,24,867456000,1997/06/28,UEFA Nations League,2020/2021,Defender,Luxembourg,226,101,125,Luxembourg,5,2,3,0,0,0,0,0,0,0,0,2,2,0,2,0,2,0,0,0,0,0,0,0,0,0.8,113,45,0,0,0,-1,-1,-1,9
Aleksandar Boljević,25,818726400,1995/12/12,UEFA Nations League,2020/2021,Forward,Montenegro,335,142,193,Montenegro,5,2,3,2,2,0,0,0,0,0,0,5,2,3,0,0,0,3,0,0.54,0,0.54,1.27,0,168,0,0,67,112,0,0.81,22,247,-1,2
Aleksandar Dragović,30,668217600,1991/03/06,UEFA Nations League,2020/2021,Defender,Austria,276,46,230,Austria,4,1,3,0,0,0,0,0,0,0,0,2,0,2,1,0,1,2,0,0,0,0,0,0,0,0.33,276,69,138,0,0.65,400,385,26,18
Aleksandar Katai,30,665798400,1991/02/06,UEFA Nations League,2020/2021,Midfielder,Serbia,0,0,0,Serbia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Aleksandar Kolarov,36,500428800,1985/11/10,UEFA Nations League,2020/2021,Defender,Serbia,165,49,116,Serbia,3,1,2,0,0,0,0,0,0,0,0,1,1,0,4,0,4,3,1,0,0,0,0,0,0,2.18,41,55,55,0,1.64,-1,-1,-1,18
Aleksandar Mitrović,27,779673600,1994/09/16,UEFA Nations League,2020/2021,Forward,Serbia,360,180,180,Serbia,4,2,2,2,0,2,0,0,0,1,0,2,2,0,5,0,5,2,0,0.5,0,0.5,0,1,180,1.25,72,90,180,0,0.5,33,451,-1,3
Aleksandar Šćekić,29,692496000,1991/12/12,UEFA Nations League,2020/2021,Midfielder,Montenegro,179,83,96,Montenegro,4,2,2,0,0,0,0,0,0,0,0,3,1,2,1,1,0,1,0,0,0,0,0,0,0,0.5,179,45,179,0,0.5,-1,-1,-1,16
Aleksandar Šofranac,31,656467200,1990/10/21,UEFA Nations League,2020/2021,Defender,Montenegro,90,0,90,Montenegro,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,-1,-1,-1,15
Aleksandar Trajkovski,29,715651200,1992/09/05,UEFA Nations League,2020/2021,Forward,FYR Macedonia,299,74,225,FYR Macedonia,5,2,3,0,0,0,0,0,0,0,1,0,0,0,5,1,4,0,0,0,0,0,0,0,0,1.51,60,60,0,0,0,202,159,-1,17
Aleksandar Tsvetkov,31,652060800,1990/08/31,UEFA Nations League,2020/2021,Midfielder,Bulgaria,221,56,165,Bulgaria,5,3,2,0,0,0,0,0,0,0,0,1,0,1,3,1,2,0,0,0,0,0,0,0,0,1.22,74,44,0,0,0,-1,-1,-1,21
Aleksandar Vasilev,26,798940800,1995/04/27,UEFA Nations League,2020/2021,Midfielder,Bulgaria,30,0,30,Bulgaria,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,-1,-1,-1,5
Aleksandr Erokhin,32,624240000,1989/10/13,UEFA Nations League,2020/2021,Midfielder,Russia,110,0,110,Russia,2,0,2,0,0,0,0,0,0,0,0,0,0,0,5,0,5,0,0,0,0,0,0,0,0,4.09,22,55,0,0,0,-1,-1,-1,14
Aleksandr Gutor,32,608860800,1989/04/18,UEFA Nations League,2020/2021,Goalkeeper,Belarus,270,180,90,Belarus,3,2,1,0,0,0,0,0,0,0,0,1,1,0,3,2,1,0,0,0,0,0,0,0,0,1,90,90,0,0,0,-1,-1,-1,8
Aleksandr Karapetyan,33,567216000,1987/12/23,UEFA Nations League,2020/2021,Forward,Armenia,439,203,236,Armenia,6,3,3,1,1,0,1,1,0,0,0,2,2,0,5,1,4,0,0,0.41,0.21,0.21,0.44,0,439,1.03,88,73,0,439,0,107,80,-1,7
Aleksandr Marochkin,31,647913600,1990/07/14,UEFA Nations League,2020/2021,Defender,Kazakhstan,406,226,180,Kazakhstan,5,3,2,0,0,0,0,0,0,0,0,2,1,1,6,3,3,1,0,0,0,0,0,0,0,1.33,68,81,406,0,0.22,461,484,152,25
Aleksandr Martynovich,34,556934400,1987/08/26,UEFA Nations League,2020/2021,Defender,Belarus,270,90,180,Belarus,3,1,2,0,0,0,0,0,0,0,0,0,0,0,5,2,3,0,0,0,0,0,0,0,0,1.67,54,90,0,0,0,-1,-1,-1,26
Aleksandr Pavlovets,25,839894400,1996/08/13,UEFA Nations League,2020/2021,Defender,Belarus,0,0,0,Belarus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Aleksandr Sachivko,35,505267200,1986/01/05,UEFA Nations League,2020/2021,Midfielder,Belarus,312,132,180,Belarus,4,2,2,1,0,1,1,0,1,0,0,2,2,0,5,0,5,0,0,0.58,0.29,0.29,0,0.5,312,1.44,62,78,0,312,0,63,32,-1,7
Aleksandr Zhirov,30,664675200,1991/01/24,UEFA Nations League,2020/2021,Defender,Russia,0,0,0,Russia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Aleksejs Saveljevs,22,917654400,1999/01/30,UEFA Nations League,2020/2021,Midfielder,Latvia,65,29,36,Latvia,2,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,-1,-1,-1,26
Aleksey Ionov,32,603763200,1989/02/18,UEFA Nations League,2020/2021,Midfielder,Russia,314,228,86,Russia,5,3,2,0,0,0,0,0,0,0,0,1,1,0,4,2,2,0,0,0,0,0,0,0,0,1.15,79,63,0,0,0,437,458,-1,26
Aleksey Legchilin,29,702950400,1992/04/11,UEFA Nations League,2020/2021,Midfielder,Belarus,0,0,0,Belarus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Aleksey Miranchuk,26,813888000,1995/10/17,UEFA Nations League,2020/2021,Midfielder,Russia,125,0,125,Russia,2,0,2,0,0,0,0,0,0,0,0,0,0,0,7,0,7,0,0,0,0,0,0,0,0,5.04,18,63,0,0,0,-1,-1,-1,12
Aleksey Shchetkin,30,674784000,1991/05/21,UEFA Nations League,2020/2021,Forward,Kazakhstan,180,90,90,Kazakhstan,2,1,1,0,0,0,0,0,0,0,0,0,0,0,4,1,3,0,0,0,0,0,0,0,0,2,45,90,0,0,0,-1,-1,-1,10
Aleš Mandous,29,703814400,1992/04/21,UEFA Nations League,2020/2021,Goalkeeper,Czech Republic,90,90,0,Czech Republic,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,2,45,90,0,0,0,-1,-1,-1,38
Aleš Matějů,25,833760000,1996/06/03,UEFA Nations League,2020/2021,Defender,Czech Republic,180,180,0,Czech Republic,2,2,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,-1,-1,-1,36
Aleskandr Selyava,29,698112000,1992/02/15,UEFA Nations League,2020/2021,Midfielder,Belarus,46,46,0,Belarus,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1.96,46,46,0,0,0,-1,-1,-1,20
Alessandro Bastoni,22,923961600,1999/04/13,UEFA Nations League,2020/2021,Defender,Italy,360,270,90,Italy,4,3,1,0,0,0,0,0,0,0,0,2,1,1,3,3,0,0,0,0,0,0,0,0,0,0.75,120,90,0,0,0,189,207,74,13
Alessandro D'Addario,24,873763200,1997/09/09,UEFA Nations League,2020/2021,Midfielder,San Marino,44,0,44,San Marino,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,-1,-1,-1,2
Alessandro Florenzi,30,668649600,1991/03/11,UEFA Nations League,2020/2021,Midfielder,Italy,333,197,136,Italy,5,3,2,0,0,0,0,0,0,0,0,3,1,2,1,1,0,0,0,0,0,0,0,0,0,0.27,333,67,0,0,0,481,476,-1,29
Alessandro Golinucci,27,781747200,1994/10/10,UEFA Nations League,2020/2021,Midfielder,San Marino,134,134,0,San Marino,2,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,67,134,0,0.67,-1,-1,-1,8
Alessandro Schöpf,27,760579200,1994/02/07,UEFA Nations League,2020/2021,Midfielder,Austria,77,0,77,Austria,1,0,1,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1.17,0,1.17,0,1.17,77,0,0,77,0,0,0,-1,-1,-1,3
Alessio Cragno,27,772761600,1994/06/28,UEFA Nations League,2020/2021,Goalkeeper,Italy,0,0,0,Italy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Alessio Curci,19,1013817600,2002/02/16,UEFA Nations League,2020/2021,Forward,Luxembourg,0,0,0,Luxembourg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Alessio Romagnoli,26,789868800,1995/01/12,UEFA Nations League,2020/2021,Defender,Italy,0,0,0,Italy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Alex Král,23,895536000,1998/05/19,UEFA Nations League,2020/2021,Midfielder,Czech Republic,437,180,257,Czech Republic,5,2,3,0,0,0,0,0,0,0,0,2,2,0,3,0,3,0,0,0,0,0,0,0,0,0.62,146,87,0,0,0,417,413,-1,29
Alex Meret,24,858988800,1997/03/22,UEFA Nations League,2020/2021,Goalkeeper,Italy,0,0,0,Italy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Alex Stimac,25,835401600,1996/06/22,UEFA Nations League,2020/2021,Goalkeeper,San Marino,0,0,0,Italy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Alexander Hartmann Bah,24,881625600,1997/12/09,UEFA Nations League,2020/2021,Forward,Denmark,0,0,0,Denmark,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Alexander Isak,22,937872000,1999/09/21,UEFA Nations League,2020/2021,Forward,Sweden,168,71,97,Sweden,4,1,3,0,0,0,0,0,0,0,0,0,0,0,3,1,2,0,0,0,0,0,0,0,0,1.61,56,42,0,0,0,-1,-1,-1,10
Alexander Marxer,27,765417600,1994/04/04,UEFA Nations League,2020/2021,Defender,Liechtenstein,0,0,0,Liechtenstein,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Alexander Satariano,20,1003968000,2001/10/25,UEFA Nations League,2020/2021,Forward,Malta,20,20,0,Malta,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,-1,-1,-1,22
Alexander Schlager,25,823132800,1996/02/01,UEFA Nations League,2020/2021,Goalkeeper,Austria,180,90,90,Austria,2,1,1,0,0,0,0,0,0,0,0,0,0,0,4,3,1,0,0,0,0,0,0,0,0,2,45,90,0,0,0,-1,-1,-1,14
Alexander Scholz,29,719884800,1992/10/24,UEFA Nations League,2020/2021,Defender,Denmark,0,0,0,Denmark,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,-1
Alexander Sobolev,24,857692800,1997/03/07,UEFA Nations League,2020/2021,Forward,Russia,9,9,0,Russia,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,-1,-1,-1,19
Alexander Sørloth,26,818121600,1995/12/05,UEFA Nations League,2020/2021,Forward,Norway,231,141,90,Norway,4,3,1,3,1,2,2,2,0,0,0,2,2,0,1,0,1,1,0,1.95,0.78,1.17,0.64,2,77,0.39,231,58,231,116,0.39,-1,-1,-1,2
